,otime,nets,stas,snr,smb_peak,max_time,centroid_time,lats,lons,elevs,char_freq,duration,sharp_weight,volcano,event_ID,MaxD,MaxEnv,ER
0,2024-01-08T19:06:47.000000Z,CC,ARAT,14.22999026948607,2.2250000000000014,11.774999999999999,38.862435877776456,46.788755,-121.852537,1823.137,2.5272172919142397,69.7,933.0,Mt_Rainier,3252833,2.688326032430925e-08,3.82483992096118e-09,2.6732678439471017e-10
1,2024-01-08T19:06:47.000000Z,CC,GTWY,8.020538957658351,-15.0,33.125,87.51857537735879,46.740163,-121.916765,617.235,9.93693339802563,134.625,280.0,Mt_Rainier,3252833,4.9119322529048945e-08,3.1790395939960486e-09,5.525576771367914e-09
2,2024-01-08T19:06:47.000000Z,CC,OBSR,12.693457078200868,2.5249999999999986,11.399999999999999,44.06589100064576,46.899719,-121.815331,2382.0,3.273743540415456,107.475,1333.0,Mt_Rainier,3252833,1.9174883353517043e-07,2.3087309230074718e-08,3.0504604929928006e-08
3,2024-01-08T19:06:47.000000Z,CC,PANH,11.951454652355904,1.6499999999999986,7.5,42.66573251286994,46.859032,-121.642592,2086.0,3.014619304520814,89.025,1105.0,Mt_Rainier,3252833,5.915009629048175e-08,7.171966552428224e-09,1.1216433710154748e-09
4,2024-01-08T19:06:47.000000Z,CC,PARA,8.59504974206042,-15.0,11.649999999999999,41.53595659453071,46.786442,-121.742149,1651.18,2.53741283235542,115.525,1498.0,Mt_Rainier,3252833,4.778489032077694e-08,6.992831632063278e-09,1.5698211154253178e-09
5,2024-01-08T19:06:47.000000Z,CC,SIFT,7.495428559987226,2.375,15.600000000000001,46.36613379759901,46.867092,-121.953246,720.9,2.4667598735543006,128.15,1231.0,Mt_Rainier,3252833,1.0227746500627879e-08,2.6024784251051287e-09,5.557320589131366e-11
6,2024-01-08T19:06:47.000000Z,UW,FMW,14.283071048412339,2.0249999999999986,9.75,42.68031203571263,46.941399,-121.670998,1859.0,3.0664756108196407,109.375,1210.0,Mt_Rainier,3252833,2.5799558723088777e-08,3.290023467186254e-09,2.3985684686335274e-10
7,2024-01-08T19:06:47.000000Z,UW,LO2,14.446372165963014,1.8249999999999993,10.45,44.55855326808829,46.750599,-121.809601,853.0,6.481801905787793,84.775,301.0,Mt_Rainier,3252833,8.581481814461778e-09,1.2156063656354624e-09,2.670448661327106e-11
8,2024-01-08T19:06:47.000000Z,UW,LON,13.791561817280098,1.5249999999999986,12.825,44.38650176631037,46.750599,-121.809601,853.0,6.176027122749149,82.35,744.0,Mt_Rainier,3252833,1.598936244158097e-08,2.45024832125468e-09,8.126030119470624e-11
9,2024-01-08T19:06:47.000000Z,UW,RCM,31.53476323982749,0.3249999999999993,6.074999999999999,12.314584428233267,46.83564,-121.732979,3085.0,2.851314795567069,12.95,3165.0,Mt_Rainier,3252833,4.620591449623715e-07,3.637361363805252e-08,8.295145468801655e-08
10,2024-01-08T19:06:47.000000Z,UW,RCS,24.324012970945514,-0.09999999999999964,5.125,15.138207624341796,46.870831,-121.732307,2877.0,3.041418246323801,11.725000000000001,2791.0,Mt_Rainier,3252833,3.948839526026344e-07,3.326490573497384e-08,8.049704468791237e-08
11,2024-01-08T19:06:47.000000Z,UW,RER,22.319728568039068,1.5500000000000007,8.774999999999999,30.46699608250774,46.81905,-121.842133,1756.0,2.4070300731122605,21.475,1328.0,Mt_Rainier,3252833,5.107675792873117e-08,7.561827429081782e-09,1.1546697869587733e-09
12,2024-01-08T19:06:47.000000Z,UW,SPFR,8.471204697698262,-15.0,39.95,77.3915161525184,46.94787,-122.35675,172.3,11.413717279412445,134.975,320.0,Mt_Rainier,3252833,9.580133534776312e-08,8.962944459045702e-09,2.639090849581352e-08
13,2024-01-08T05:00:59.000000Z,CC,ARAT,7.27505804248904,2.3500000000000014,10.399999999999999,46.393887429233246,46.788755,-121.852537,1823.137,3.598246739940022,126.475,579.0,Mt_Rainier,3252793,5.384964117356653e-09,2.577767728842148e-09,3.0010325483923795e-11
14,2024-01-08T05:00:59.000000Z,CC,PANH,20.449096052698938,1.25,10.274999999999999,25.229494696539817,46.859032,-121.642592,2086.0,4.42343274182718,16.05,436.0,Mt_Rainier,3252793,2.649527754346723e-08,3.897229747835269e-09,2.7852786934922004e-10
15,2024-01-08T05:00:59.000000Z,CC,PARA,18.8747254913182,1.3249999999999993,9.5,28.45273895476562,46.786442,-121.742149,1651.18,3.578305809791917,17.674999999999997,540.0,Mt_Rainier,3252793,2.8733548418071037e-08,3.394884929440718e-09,2.407422321010095e-10
16,2024-01-08T05:00:59.000000Z,UW,FMW,14.414041960289037,2.3999999999999986,9.899999999999999,36.60213203841106,46.941399,-121.670998,1859.0,4.759597112000312,14.75,560.0,Mt_Rainier,3252793,1.3192282159280938e-08,1.8517344651606948e-09,8.445960736179436e-11
17,2024-01-08T05:00:59.000000Z,UW,RCM,23.141131488682017,0.6999999999999993,7.375,17.236513987612064,46.83564,-121.732979,3085.0,4.554937789038107,35.45,760.0,Mt_Rainier,3252793,1.5573727413783908e-07,1.504349098771242e-08,1.4367942810909359e-08
18,2024-01-08T05:00:59.000000Z,UW,RER,10.486955727749374,1.375,8.175,39.41798609222277,46.81905,-121.842133,1756.0,5.606476829862346,35.75,185.0,Mt_Rainier,3252793,8.807158137434662e-09,1.9060731543986226e-09,7.021021436161654e-11
19,2024-01-08T05:00:59.000000Z,UW,STAR,9.729043641433318,39.275,20.6,44.1677789558367,46.850849,-121.792953,3365.0,4.063028573130815,133.125,550.0,Mt_Rainier,3252793,1.2243490245237397e-05,2.4415100302400644e-06,2.333025992857816e-05
20,2024-01-08T01:00:17.000000Z,CC,OBSR,24.07344741788973,-1.3000000000000007,5.425000000000001,23.819296169187567,46.899719,-121.815331,2382.0,3.392416420400364,14.600000000000001,955.0,Mt_Rainier,3252748,1.774074965222115e-07,1.80337408566752e-08,9.671953263911134e-09
